Name,Club,Nationality,season
George Graham,Arsenal,Scotland,1992/1993
Ron Atkinson,Aston Villa,England,1992/1993
Kenny Dalglish,Blackburn Rovers,Scotland,1992/1993
David Webb,Chelsea,England,1992/1993
Bobby Gould,Coventry City,Wales,1992/1993
Steve Coppell,Crystal Palace,England,1992/1993
Howard Kendall,Everton,England,1992/1993
John Lyall,Ipswich Town,England,1992/1993
Howard Wilkinson,Leeds United,England,1992/1993
Graeme Souness,Liverpool,Scotland,1992/1993
Peter Reid,Manchester City,England,1992/1993
Alex Ferguson,Manchester United,Scotland,1992/1993
Lennie Lawrence,Middlesbrough,England,1992/1993
Mike Walker,Norwich City,Wales,1992/1993
Brian Clough,Nottingham Forest,England,1992/1993
Joe Royle,Oldham Athletic,England,1992/1993
Gerry Francis,Queens Park Rangers,England,1992/1993
Dave Bassett,Sheffield United,England,1992/1993
Trevor Francis,Sheffield Wednesday,England,1992/1993
Ian Branfoot,Southampton,England,1992/1993
Doug Livermore,Tottenham Hotspur,England,1992/1993
Joe Kinnear,Wimbledon,Ireland,1992/1993
George Graham,Arsenal,Scotland,1993/1994
Ron Atkinson,Aston Villa,England,1993/1994
Kenny Dalglish,Blackburn Rovers,Scotland,1993/1994
Glenn Hoddle,Chelsea,England,1993/1994
Phil Neal,Coventry City,England,1993/1994
Jimmy Gabriel,Everton,England,1993/1994
John Lyall,Ipswich Town,England,1993/1994
Howard Wilkinson,Leeds United,England,1993/1994
Roy Evans,Liverpool,England,1993/1994
Brian Horton,Manchester City,England,1993/1994
Alex Ferguson,Manchester United,Scotland,1993/1994
Kevin Keegan,Newcastle United,England,1993/1994
John Deehan,Norwich City,England,1993/1994
Joe Royle,Oldham Athletic,England,1993/1994
Gerry Francis,Queens Park Rangers,England,1993/1994
Dave Bassett,Sheffield United,England,1993/1994
Trevor Francis,Sheffield Wednesday,England,1993/1994
Alan Ball,Southampton,England,1993/1994
John Gorman,Swindon Town,Scotland,1993/1994
Osvaldo Ardiles,Tottenham Hotspur,Argentina,1993/1994
Billy Bonds,West Ham United,England,1993/1994
Joe Kinnear,Wimbledon,Ireland,1993/1994
Stewart Houston,Arsenal,Scotland,1994/1995
Jim Barron,Aston Villa,England,1994/1995
Kenny Dalglish,Blackburn Rovers,Scotland,1994/1995
Glenn Hoddle,Chelsea,England,1994/1995
Ron Atkinson,Coventry City,England,1994/1995
Alan Smith,Crystal Palace,England,1994/1995
Joe Royle,Everton,England,1994/1995
George Burley,Ipswich Town,Scotland,1994/1995
Howard Wilkinson,Leeds United,England,1994/1995
Mark McGhee,Leicester City,Scotland,1994/1995
Roy Evans,Liverpool,England,1994/1995
Brian Horton,Manchester City,England,1994/1995
Alex Ferguson,Manchester United,Scotland,1994/1995
Kevin Keegan,Newcastle United,England,1994/1995
Gary Megson,Norwich City,England,1994/1995
Frank Clark,Nottingham Forest,England,1994/1995
Ray Wilkins,Queens Park Rangers,England,1994/1995
Trevor Francis,Sheffield Wednesday,England,1994/1995
Alan Ball,Southampton,England,1994/1995
Steve Perryman,Tottenham Hotspur,England,1994/1995
Harry Redknapp,West Ham United,England,1994/1995
Joe Kinnear,Wimbledon,Ireland,1994/1995
Bruce Rioch,Arsenal,Scotland,1995/1996
Brian Little,Aston Villa,England,1995/1996
Ray Harford,Blackburn Rovers,England,1995/1996
Colin Todd,Bolton Wanderers,England,1995/1996
Glenn Hoddle,Chelsea,England,1995/1996
Ron Atkinson,Coventry City,England,1995/1996
Joe Royle,Everton,England,1995/1996
Howard Wilkinson,Leeds United,England,1995/1996
Roy Evans,Liverpool,England,1995/1996
Alan Ball,Manchester City,England,1995/1996
Alex Ferguson,Manchester United,Scotland,1995/1996
Bryan Robson,Middlesbrough,England,1995/1996
Kevin Keegan,Newcastle United,England,1995/1996
Frank Clark,Nottingham Forest,England,1995/1996
Ray Wilkins,Queens Park Rangers,England,1995/1996
David Pleat,Sheffield Wednesday,England,1995/1996
David Merrington,Southampton,England,1995/1996
Gerry Francis,Tottenham Hotspur,England,1995/1996
Harry Redknapp,West Ham United,England,1995/1996
Joe Kinnear,Wimbledon,Ireland,1995/1996
Arsène Wenger,Arsenal,France,1996/1997
Brian Little,Aston Villa,England,1996/1997
Tony Parkes,Blackburn Rovers,England,1996/1997
Ruud Gullit,Chelsea,Netherlands,1996/1997
Gordon Strachan,Coventry City,Scotland,1996/1997
Jim Smith,Derby County,England,1996/1997
Dave Watson,Everton,England,1996/1997
George Graham,Leeds United,Scotland,1996/1997
Martin O'Neill,Leicester City,Northern Ireland,1996/1997
Roy Evans,Liverpool,England,1996/1997
Alex Ferguson,Manchester United,Scotland,1996/1997
Bryan Robson,Middlesbrough,England,1996/1997
Kenny Dalglish,Newcastle United,Scotland,1996/1997
Dave Bassett,Nottingham Forest,England,1996/1997
David Pleat,Sheffield Wednesday,England,1996/1997
Graeme Souness,Southampton,Scotland,1996/1997
Peter Reid,Sunderland,England,1996/1997
Gerry Francis,Tottenham Hotspur,England,1996/1997
Harry Redknapp,West Ham United,England,1996/1997
Joe Kinnear,Wimbledon,Ireland,1996/1997
Arsène Wenger,Arsenal,France,1997/1998
John Gregory,Aston Villa,England,1997/1998
Danny Wilson,Barnsley,Northern Ireland,1997/1998
Roy Hodgson,Blackburn Rovers,England,1997/1998
Colin Todd,Bolton Wanderers,England,1997/1998
Gianluca Vialli,Chelsea,Italy,1997/1998
Gordon Strachan,Coventry City,Scotland,1997/1998
Ron Noades,Crystal Palace,England,1997/1998
Jim Smith,Derby County,England,1997/1998
Howard Kendall,Everton,England,1997/1998
George Graham,Leeds United,Scotland,1997/1998
Martin O'Neill,Leicester City,Northern Ireland,1997/1998
Roy Evans,Liverpool,England,1997/1998
Alex Ferguson,Manchester United,Scotland,1997/1998
Kenny Dalglish,Newcastle United,Scotland,1997/1998
Ron Atkinson,Sheffield Wednesday,England,1997/1998
Dave Jones,Southampton,England,1997/1998
Christian Gross,Tottenham Hotspur,Switzerland,1997/1998
Harry Redknapp,West Ham United,England,1997/1998
Joe Kinnear,Wimbledon,Ireland,1997/1998
Arsène Wenger,Arsenal,France,1998/1999
John Gregory,Aston Villa,England,1998/1999
Brian Kidd,Blackburn Rovers,England,1998/1999
Alan Curbishley,Charlton Athletic,England,1998/1999
Gianluca Vialli,Chelsea,Italy,1998/1999
Gordon Strachan,Coventry City,Scotland,1998/1999
Jim Smith,Derby County,England,1998/1999
Walter Smith,Everton,Scotland,1998/1999
David O'Leary,Leeds United,Ireland,1998/1999
Martin O'Neill,Leicester City,Northern Ireland,1998/1999
Gérard Houllier,Liverpool,France,1998/1999
Alex Ferguson,Manchester United,Scotland,1998/1999
Bryan Robson,Middlesbrough,England,1998/1999
Ruud Gullit,Newcastle United,Netherlands,1998/1999
Ron Atkinson,Nottingham Forest,England,1998/1999
Danny Wilson,Sheffield Wednesday,Northern Ireland,1998/1999
Dave Jones,Southampton,England,1998/1999
David Pleat,Tottenham Hotspur,England,1998/1999
Harry Redknapp,West Ham United,England,1998/1999
Joe Kinnear,Wimbledon,Ireland,1998/1999
Arsène Wenger,Arsenal,France,1999/2000
John Gregory,Aston Villa,England,1999/2000
Paul Jewell,Bradford City,England,1999/2000
Gianluca Vialli,Chelsea,Italy,1999/2000
Gordon Strachan,Coventry City,Scotland,1999/2000
Jim Smith,Derby County,England,1999/2000
Walter Smith,Everton,Scotland,1999/2000
David O'Leary,Leeds United,Ireland,1999/2000
Martin O'Neill,Leicester City,Northern Ireland,1999/2000
Gérard Houllier,Liverpool,France,1999/2000
Alex Ferguson,Manchester United,Scotland,1999/2000
Bryan Robson,Middlesbrough,England,1999/2000
Bobby Robson,Newcastle United,England,1999/2000
Peter Shreeves,Sheffield Wednesday,England,1999/2000
Glenn Hoddle,Southampton,England,1999/2000
Peter Reid,Sunderland,England,1999/2000
George Graham,Tottenham Hotspur,Scotland,1999/2000
Graham Taylor,Watford,England,1999/2000
Harry Redknapp,West Ham United,England,1999/2000
Egil Roger Olsen,Wimbledon,Norway,1999/2000
Arsène Wenger,Arsenal,France,2000/2001
John Gregory,Aston Villa,England,2000/2001
Jim Jefferies,Bradford City,Scotland,2000/2001
Alan Curbishley,Charlton Athletic,England,2000/2001
Claudio Ranieri,Chelsea,Italy,2000/2001
Gordon Strachan,Coventry City,Scotland,2000/2001
Jim Smith,Derby County,England,2000/2001
Walter Smith,Everton,Scotland,2000/2001
George Burley,Ipswich Town,Scotland,2000/2001
David O'Leary,Leeds United,Ireland,2000/2001
Peter Taylor,Leicester City,England,2000/2001
Gérard Houllier,Liverpool,France,2000/2001
Joe Royle,Manchester City,England,2000/2001
Alex Ferguson,Manchester United,Scotland,2000/2001
Terry Venables,Middlesbrough,England,2000/2001
Bobby Robson,Newcastle United,England,2000/2001
Stuart Gray,Southampton,England,2000/2001
Peter Reid,Sunderland,England,2000/2001
David Pleat,Tottenham Hotspur,England,2000/2001
Glenn Roeder,West Ham United,England,2000/2001
Arsène Wenger,Arsenal,France,2001/2002
Graham Taylor,Aston Villa,England,2001/2002
Graeme Souness,Blackburn Rovers,Scotland,2001/2002
Sam Allardyce,Bolton Wanderers,England,2001/2002
Alan Curbishley,Charlton Athletic,England,2001/2002
Claudio Ranieri,Chelsea,Italy,2001/2002
Billy McEwan,Derby County,Scotland,2001/2002
David Moyes,Everton,Scotland,2001/2002
Jean Tigana,Fulham,France,2001/2002
George Burley,Ipswich Town,Scotland,2001/2002
David O'Leary,Leeds United,Ireland,2001/2002
Micky Adams,Leicester City,England,2001/2002
Gérard Houllier,Liverpool,France,2001/2002
Alex Ferguson,Manchester United,Scotland,2001/2002
Steve McClaren,Middlesbrough,England,2001/2002
Bobby Robson,Newcastle United,England,2001/2002
Gordon Strachan,Southampton,Scotland,2001/2002
Peter Reid,Sunderland,England,2001/2002
Glenn Hoddle,Tottenham Hotspur,England,2001/2002
Glenn Roeder,West Ham United,England,2001/2002
Arsène Wenger,Arsenal,France,2002/2003
Graham Taylor,Aston Villa,England,2002/2003
Steve Bruce,Birmingham City,England,2002/2003
Graeme Souness,Blackburn Rovers,Scotland,2002/2003
Sam Allardyce,Bolton Wanderers,England,2002/2003
Alan Curbishley,Charlton Athletic,England,2002/2003
Claudio Ranieri,Chelsea,Italy,2002/2003
David Moyes,Everton,Scotland,2002/2003
Chris Coleman,Fulham,Wales,2002/2003
Terry Venables,Leeds United,England,2002/2003
Gérard Houllier,Liverpool,France,2002/2003
Kevin Keegan,Manchester City,England,2002/2003
Alex Ferguson,Manchester United,Scotland,2002/2003
Steve McClaren,Middlesbrough,England,2002/2003
Bobby Robson,Newcastle United,England,2002/2003
Gordon Strachan,Southampton,Scotland,2002/2003
Mick McCarthy,Sunderland,Ireland,2002/2003
Glenn Hoddle,Tottenham Hotspur,England,2002/2003
Gary Megson,West Bromwich Albion,England,2002/2003
Trevor Brooking,West Ham United,England,2002/2003
Arsène Wenger,Arsenal,France,2003/2004
David O'Leary,Aston Villa,Ireland,2003/2004
Steve Bruce,Birmingham City,England,2003/2004
Graeme Souness,Blackburn Rovers,Scotland,2003/2004
Sam Allardyce,Bolton Wanderers,England,2003/2004
Alan Curbishley,Charlton Athletic,England,2003/2004
Claudio Ranieri,Chelsea,Italy,2003/2004
David Moyes,Everton,Scotland,2003/2004
Chris Coleman,Fulham,Wales,2003/2004
Eddie Gray,Leeds United,England,2003/2004
Micky Adams,Leicester City,England,2003/2004
Gérard Houllier,Liverpool,France,2003/2004
Kevin Keegan,Manchester City,England,2003/2004
Alex Ferguson,Manchester United,Scotland,2003/2004
Steve McClaren,Middlesbrough,England,2003/2004
Bobby Robson,Newcastle United,England,2003/2004
Harry Redknapp,Portsmouth,England,2003/2004
Paul Sturrock,Southampton,Scotland,2003/2004
David Pleat,Tottenham Hotspur,England,2003/2004
Dave Jones,Wolverhampton Wanderers,England,2003/2004
Arsène Wenger,Arsenal,France,2004/2005
David O'Leary,Aston Villa,Ireland,2004/2005
Steve Bruce,Birmingham City,England,2004/2005
Mark Hughes,Blackburn Rovers,Wales,2004/2005
Sam Allardyce,Bolton Wanderers,England,2004/2005
Alan Curbishley,Charlton Athletic,England,2004/2005
José Mourinho,Chelsea,Portugal,2004/2005
Iain Dowie,Crystal Palace,Northern Ireland,2004/2005
David Moyes,Everton,Scotland,2004/2005
Chris Coleman,Fulham,Wales,2004/2005
Rafael Benítez,Liverpool,Spain,2004/2005
Stuart Pearce,Manchester City,England,2004/2005
Alex Ferguson,Manchester United,Scotland,2004/2005
Steve McClaren,Middlesbrough,England,2004/2005
John Carver,Newcastle United,England,2004/2005
Nigel Worthington,Norwich City,Northern Ireland,2004/2005
Alain Perrin,Portsmouth,France,2004/2005
Steve Wigley,Southampton,England,2004/2005
Martin Jol,Tottenham Hotspur,Netherlands,2004/2005
Bryan Robson,West Bromwich Albion,England,2004/2005
Arsène Wenger,Arsenal,France,2005/2006
David O'Leary,Aston Villa,Ireland,2005/2006
Steve Bruce,Birmingham City,England,2005/2006
Mark Hughes,Blackburn Rovers,Wales,2005/2006
Sam Allardyce,Bolton Wanderers,England,2005/2006
Alan Curbishley,Charlton Athletic,England,2005/2006
José Mourinho,Chelsea,Portugal,2005/2006
David Moyes,Everton,Scotland,2005/2006
Chris Coleman,Fulham,Wales,2005/2006
Rafael Benítez,Liverpool,Spain,2005/2006
Stuart Pearce,Manchester City,England,2005/2006
Alex Ferguson,Manchester United,Scotland,2005/2006
Steve McClaren,Middlesbrough,England,2005/2006
Glenn Roeder,Newcastle United,England,2005/2006
Harry Redknapp,Portsmouth,England,2005/2006
Kevin Ball,Sunderland,England,2005/2006
Martin Jol,Tottenham Hotspur,Netherlands,2005/2006
Bryan Robson,West Bromwich Albion,England,2005/2006
Alan Pardew,West Ham United,England,2005/2006
Paul Jewell,Wigan Athletic,England,2005/2006
Arsène Wenger,Arsenal,France,2006/2007
Martin O'Neill,Aston Villa,Northern Ireland,2006/2007
Mark Hughes,Blackburn Rovers,Wales,2006/2007
Sammy Lee,Bolton Wanderers,England,2006/2007
Les Reed,Charlton Athletic,England,2006/2007
José Mourinho,Chelsea,Portugal,2006/2007
David Moyes,Everton,Scotland,2006/2007
Lawrie Sanchez,Fulham,Northern Ireland,2006/2007
Rafael Benítez,Liverpool,Spain,2006/2007
Stuart Pearce,Manchester City,England,2006/2007
Alex Ferguson,Manchester United,Scotland,2006/2007
Gareth Southgate,Middlesbrough,England,2006/2007
Nigel Pearson,Newcastle United,England,2006/2007
Harry Redknapp,Portsmouth,England,2006/2007
Steve Coppell,Reading,England,2006/2007
Neil Warnock,Sheffield United,England,2006/2007
Martin Jol,Tottenham Hotspur,Netherlands,2006/2007
Aidy Boothroyd,Watford,England,2006/2007
Alan Curbishley,West Ham United,England,2006/2007
Paul Jewell,Wigan Athletic,England,2006/2007
Arsène Wenger,Arsenal,France,2007/2008
Martin O'Neill,Aston Villa,Northern Ireland,2007/2008
Alex McLeish,Birmingham City,Scotland,2007/2008
Mark Hughes,Blackburn Rovers,Wales,2007/2008
Gary Megson,Bolton Wanderers,England,2007/2008
Avram Grant,Chelsea,Israel,2007/2008
Paul Jewell,Derby County,England,2007/2008
David Moyes,Everton,Scotland,2007/2008
Roy Hodgson,Fulham,England,2007/2008
Rafael Benítez,Liverpool,Spain,2007/2008
Sven-Göran Eriksson,Manchester City,Sweden,2007/2008
Alex Ferguson,Manchester United,Scotland,2007/2008
Gareth Southgate,Middlesbrough,England,2007/2008
Kevin Keegan,Newcastle United,England,2007/2008
Harry Redknapp,Portsmouth,England,2007/2008
Steve Coppell,Reading,England,2007/2008
Roy Keane,Sunderland,Ireland,2007/2008
Juande Ramos,Tottenham Hotspur,Spain,2007/2008
Alan Curbishley,West Ham United,England,2007/2008
Frank Barlow,Wigan Athletic,England,2007/2008
Arsène Wenger,Arsenal,France,2008/2009
Martin O'Neill,Aston Villa,Northern Ireland,2008/2009
Sam Allardyce,Blackburn Rovers,England,2008/2009
Gary Megson,Bolton Wanderers,England,2008/2009
Guus Hiddink,Chelsea,Netherlands,2008/2009
David Moyes,Everton,Scotland,2008/2009
Roy Hodgson,Fulham,England,2008/2009
Phil Brown,Hull City,England,2008/2009
Rafael Benítez,Liverpool,Spain,2008/2009
Mark Hughes,Manchester City,Wales,2008/2009
Alex Ferguson,Manchester United,Scotland,2008/2009
Gareth Southgate,Middlesbrough,England,2008/2009
Alan Shearer,Newcastle United,England,2008/2009
Paul Hart,Portsmouth,England,2008/2009
Tony Pulis,Stoke City,Wales,2008/2009
Ricky Sbragia,Sunderland,Scotland,2008/2009
Harry Redknapp,Tottenham Hotspur,England,2008/2009
Tony Mowbray,West Bromwich Albion,England,2008/2009
Gianfranco Zola,West Ham United,Italy,2008/2009
Steve Bruce,Wigan Athletic,England,2008/2009
Arsène Wenger,Arsenal,France,2009/2010
Martin O'Neill,Aston Villa,Northern Ireland,2009/2010
Alex McLeish,Birmingham City,Scotland,2009/2010
Sam Allardyce,Blackburn Rovers,England,2009/2010
Owen Coyle,Bolton Wanderers,Ireland,2009/2010
Brian Laws,Burnley,England,2009/2010
Carlo Ancelotti,Chelsea,Italy,2009/2010
David Moyes,Everton,Scotland,2009/2010
Roy Hodgson,Fulham,England,2009/2010
Iain Dowie,Hull City,Northern Ireland,2009/2010
Rafael Benítez,Liverpool,Spain,2009/2010
Roberto Mancini,Manchester City,Italy,2009/2010
Alex Ferguson,Manchester United,Scotland,2009/2010
Avram Grant,Portsmouth,Israel,2009/2010
Tony Pulis,Stoke City,Wales,2009/2010
Steve Bruce,Sunderland,England,2009/2010
Harry Redknapp,Tottenham Hotspur,England,2009/2010
Gianfranco Zola,West Ham United,Italy,2009/2010
Roberto Martínez,Wigan Athletic,Spain,2009/2010
Mick McCarthy,Wolverhampton Wanderers,Ireland,2009/2010
Arsène Wenger,Arsenal,France,2010/2011
Gérard Houllier,Aston Villa,France,2010/2011
Alex McLeish,Birmingham City,Scotland,2010/2011
Steve Kean,Blackburn Rovers,Scotland,2010/2011
Ian Holloway,Blackpool,England,2010/2011
Owen Coyle,Bolton Wanderers,Ireland,2010/2011
Carlo Ancelotti,Chelsea,Italy,2010/2011
David Moyes,Everton,Scotland,2010/2011
Mark Hughes,Fulham,Wales,2010/2011
Kenny Dalglish,Liverpool,Scotland,2010/2011
Roberto Mancini,Manchester City ,Italy,2010/2011
Alex Ferguson,Manchester United,Scotland,2010/2011
Alan Pardew,Newcastle United,England,2010/2011
Tony Pulis,Stoke City,Wales,2010/2011
Steve Bruce,Sunderland,England,2010/2011
Harry Redknapp,Tottenham Hotspur,England,2010/2011
Michael Appleton,West Bromwich Albion,England,2010/2011
Kevin Keen,West Ham United,England,2010/2011
Roberto Martínez,Wigan Athletic,Spain,2010/2011
Mick McCarthy,Wolverhampton Wanderers,Ireland,2010/2011
Arsène Wenger,Arsenal,France,2011/2012
Alex McLeish,Aston Villa,Scotland,2011/2012
Steve Kean,Blackburn Rovers,Scotland,2011/2012
Owen Coyle,Bolton Wanderers,Ireland,2011/2012
Roberto Di Matteo,Chelsea,Italy,2011/2012
David Moyes,Everton,Scotland,2011/2012
Martin Jol,Fulham,Netherlands,2011/2012
Kenny Dalglish,Liverpool,Scotland,2011/2012
Roberto Mancini,Manchester City,Italy,2011/2012
Alex Ferguson,Manchester United,Scotland,2011/2012
Alan Pardew,Newcastle United,England,2011/2012
Paul Lambert,Norwich City,Scotland,2011/2012
Mark Hughes,Queens Park Rangers,Wales,2011/2012
Tony Pulis,Stoke City,Wales,2011/2012
Martin O'Neill,Sunderland,Northern Ireland,2011/2012
Brendan Rodgers,Swansea City,Northern Ireland,2011/2012
Harry Redknapp,Tottenham Hotspur,England,2011/2012
Roy Hodgson,West Bromwich Albion,England,2011/2012
Roberto Martínez,Wigan Athletic,Spain,2011/2012
Terry Connor,Wolverhampton Wanderers,England,2011/2012
Arsène Wenger,Arsenal,France,2012/2013
Rafael Benítez,Chelsea,Spain,2012/2013
David Moyes,Everton,Scotland,2012/2013
Martin Jol,Fulham,Netherlands,2012/2013
Brian Kidd,Manchester City,England,2012/2013
Alex Ferguson,Manchester United,Scotland,2012/2013
Alan Pardew,Newcastle United,England,2012/2013
Paul Lambert,Norwich City,Scotland,2012/2013
Harry Redknapp,Queens Park Rangers,England,2012/2013
Eamonn Dolan,Reading,Ireland,2012/2013
Mauricio Pochettino,Southampton,Argentina,2012/2013
Tony Pulis,Stoke City,Wales,2012/2013
Paolo Di Canio,Sunderland,Italy,2012/2013
Brendan Rodgers,Swansea City,Northern Ireland,2012/2013
André Villas-Boas,Tottenham Hotspur,Portugal,2012/2013
Steve Clarke,West Bromwich Albion,Scotland,2012/2013
Sam Allardyce,West Ham United,England,2012/2013
Roberto Martínez,Wigan Athletic,Spain,2012/2013
Arsène Wenger,Arsenal,France,2013/2014
Paul Lambert,Aston Villa,Scotland,2013/2014
Ole Gunnar Solskjær,Cardiff City,Norway,2013/2014
José Mourinho,Chelsea,Portugal,2013/2014
Keith Millen,Crystal Palace,England,2013/2014
Roberto Martínez,Everton,Spain,2013/2014
Felix Magath,Fulham,Germany,2013/2014
Steve Bruce,Hull City,England,2013/2014
Brendan Rodgers,Liverpool,Northern Ireland,2013/2014
Manuel Pellegrini,Manchester City,Chile,2013/2014
Ryan Giggs,Manchester United,Wales,2013/2014
Alan Pardew,Newcastle United,England,2013/2014
Neil Adams,Norwich City,England,2013/2014
Mauricio Pochettino,Southampton,Argentina,2013/2014
Tony Pulis,Stoke City,Wales,2013/2014
Gustavo Poyet,Sunderland,Uruguay,2013/2014
Garry Monk,Swansea City,England,2013/2014
Tim Sherwood,Tottenham Hotspur,England,2013/2014
Pepe Mel,West Bromwich Albion,Spain,2013/2014
Sam Allardyce,West Ham United,England,2013/2014
Arsène Wenger,Arsenal,France,2014/2015
Tim Sherwood,Aston Villa,England,2014/2015
Sean Dyche,Burnley,England,2014/2015
José Mourinho,Chelsea,Portugal,2014/2015
Neil Warnock,Crystal Palace,England,2014/2015
Roberto Martínez,Everton,Spain,2014/2015
Steve Bruce,Hull City,England,2014/2015
Nigel Pearson,Leicester City,England,2014/2015
Brendan Rodgers,Liverpool,Northern Ireland,2014/2015
Manuel Pellegrini,Manchester City,Chile,2014/2015
Louis van Gaal,Manchester United,Netherlands,2014/2015
John Carver,Newcastle United,England,2014/2015
Chris Ramsey,Queens Park Rangers,England,2014/2015
Ronald Koeman,Southampton,Netherlands,2014/2015
Mark Hughes,Stoke City,Wales,2014/2015
Dick Advocaat,Sunderland,Netherlands,2014/2015
Garry Monk,Swansea City,England,2014/2015
Mauricio Pochettino,Tottenham Hotspur,Argentina,2014/2015
Tony Pulis,West Bromwich Albion,Wales,2014/2015
Sam Allardyce,West Ham United,England,2014/2015
Eddie Howe,Bournemouth,England,2015/2016
Arsène Wenger,Arsenal,France,2015/2016
Eric Black,Aston Villa,Scotland,2015/2016
Guus Hiddink,Chelsea,Netherlands,2015/2016
Alan Pardew,Crystal Palace,England,2015/2016
David Unsworth,Everton,England,2015/2016
Claudio Ranieri,Leicester City,Italy,2015/2016
Jürgen Klopp,Liverpool,Germany,2015/2016
Manuel Pellegrini,Manchester City,Chile,2015/2016
Louis van Gaal,Manchester United,Netherlands,2015/2016
Rafael Benítez,Newcastle United,Spain,2015/2016
Alex Neil,Norwich City,Scotland,2015/2016
Ronald Koeman,Southampton,Netherlands,2015/2016
Mark Hughes,Stoke City,Wales,2015/2016
Sam Allardyce,Sunderland,England,2015/2016
Francesco Guidolin,Swansea City,Italy,2015/2016
Mauricio Pochettino,Tottenham Hotspur,Argentina,2015/2016
Enrique Sánchez Flores,Watford,Spain,2015/2016
Tony Pulis,West Bromwich Albion,Wales,2015/2016
Slaven Bilic,West Ham United,Croatia,2015/2016
Eddie Howe,Bournemouth,England,2016/2017
Arsène Wenger,Arsenal,France,2016/2017
Sean Dyche,Burnley,England,2016/2017
Antonio Conte,Chelsea,Italy,2016/2017
Sam Allardyce,Crystal Palace,England,2016/2017
Ronald Koeman,Everton,Netherlands,2016/2017
Marco Silva,Hull City,Portugal,2016/2017
Craig Shakespeare,Leicester City,England,2016/2017
Jürgen Klopp,Liverpool,Germany,2016/2017
Josep Guardiola,Manchester City,Spain,2016/2017
José Mourinho,Manchester United,Portugal,2016/2017
Steve Agnew,Middlesbrough,England,2016/2017
Claude Puel,Southampton,France,2016/2017
Mark Hughes,Stoke City,Wales,2016/2017
David Moyes,Sunderland,Scotland,2016/2017
Paul Clement,Swansea City,England,2016/2017
Mauricio Pochettino,Tottenham Hotspur,Argentina,2016/2017
Walter Mazzarri,Watford,Italy,2016/2017
Tony Pulis,West Bromwich Albion,Wales,2016/2017
Slaven Bilic,West Ham United,Croatia,2016/2017
Eddie Howe,Bournemouth,England,2017/2018
Arsène Wenger,Arsenal,France,2017/2018
Chris Hughton,Brighton and Hove Albion,Ireland,2017/2018
Sean Dyche,Burnley,England,2017/2018
Antonio Conte,Chelsea,Italy,2017/2018
Roy Hodgson,Crystal Palace,England,2017/2018
Sam Allardyce,Everton,England,2017/2018
David Wagner,Huddersfield Town,United States,2017/2018
Claude Puel,Leicester City,France,2017/2018
Jürgen Klopp,Liverpool,Germany,2017/2018
Josep Guardiola,Manchester City,Spain,2017/2018
José Mourinho,Manchester United,Portugal,2017/2018
Rafael Benítez,Newcastle United,Spain,2017/2018
Mauricio Pellegrino,Southampton,Argentina,2017/2018
Paul Lambert,Stoke City,Scotland,2017/2018
Carlos Carvalhal,Swansea City,Portugal,2017/2018
Mauricio Pochettino,Tottenham Hotspur,Argentina,2017/2018
Javier Gracia,Watford,Spain,2017/2018
Darren Moore,West Bromwich Albion,Jamaica,2017/2018
David Moyes,West Ham United,Scotland,2017/2018
Eddie Howe,Bournemouth,England,2018/2019
Unai Emery,Arsenal,Spain,2018/2019
Chris Hughton,Brighton and Hove Albion,Ireland,2018/2019
Sean Dyche,Burnley,England,2018/2019
Neil Warnock,Cardiff City,England,2018/2019
Maurizio Sarri,Chelsea,Italy,2018/2019
Roy Hodgson,Crystal Palace,England,2018/2019
Marco Silva,Everton,Portugal,2018/2019
Scott Parker,Fulham,England,2018/2019
Jan Siewert,Huddersfield Town,Germany,2018/2019
Brendan Rodgers,Leicester City,Northern Ireland,2018/2019
Jürgen Klopp,Liverpool,Germany,2018/2019
Josep Guardiola,Manchester City,Spain,2018/2019
José Mourinho,Manchester United,Portugal,2018/2019
Rafael Benítez,Newcastle United,Spain,2018/2019
Ralph Hasenhüttl,Southampton,Austria,2018/2019
Mauricio Pochettino,Tottenham Hotspur,Argentina,2018/2019
Javier Gracia,Watford,Spain,2018/2019
Manuel Pellegrini,West Ham United,Chile,2018/2019
Nuno Espírito Santo,Wolverhampton Wanderers,Portugal,2018/2019
Eddie Howe,Bournemouth,England,2019/2020
Mikel Arteta,Arsenal,Spain,2019/2020
Dean Smith,Aston Villa,England,2019/2020
Graham Potter,Brighton and Hove Albion,England,2019/2020
Sean Dyche,Burnley,England,2019/2020
Frank Lampard,Chelsea,England,2019/2020
Roy Hodgson,Crystal Palace,England,2019/2020
Carlo Ancelotti,Everton,Italy,2019/2020
Brendan Rodgers,Leicester City,Northern Ireland,2019/2020
Jürgen Klopp,Liverpool,Germany,2019/2020
Josep Guardiola,Manchester City,Spain,2019/2020
Ole Gunnar Solskjær,Manchester United,Norway,2019/2020
Steve Bruce,Newcastle United,England,2019/2020
Daniel Farke,Norwich City,Germany,2019/2020
Chris Wilder,Sheffield United,England,2019/2020
Ralph Hasenhüttl,Southampton,Austria,2019/2020
José Mourinho,Tottenham Hotspur,Portugal,2019/2020
Nigel Pearson,Watford,England,2019/2020
David Moyes,West Ham United,Scotland,2019/2020
Nuno Espírito Santo,Wolverhampton Wanderers,Portugal,2019/2020